h1n1_concern,h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,behavioral_face_mask,behavioral_wash_hands,behavioral_large_gatherings,behavioral_outside_home,behavioral_touch_face,doctor_recc_h1n1,doctor_recc_seasonal,chronic_med_condition,child_under_6_months,health_worker,health_insurance,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,age_group,education,race,sex,income_poverty,marital_status,rent_or_own,employment_status,hhs_geo_region,census_msa,household_adults,household_children,employment_industry,employment_occupation
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,1,1,0,1,3,1,3,0,2,1,0,1,8,2,0,0,12,19
1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,3,0,1,0,2,3,1,0,1,0,0,9,0,2,0,14,21
2,1,0,1,0,1,1,0,1,0,0,0,0,0,1,2,2,1,2,0,3,2,3,3,0,0,0,0,0,9,0,1,0,18,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,1,0,3,1,3,1,0,1,0,0,9,0,0,0,19,21
0,2,0,1,0,1,1,1,1,0,0,0,0,0,1,3,0,0,3,1,0,2,2,3,1,1,0,0,0,1,0,1,0,19,1
1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,2,0,3,3,1,3,1,3,3,1,1,0,0,0,6,0,1,2,6,9
1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,3,3,1,0,1,3,3,0,0,1,0,0,6,0,1,0,14,21
2,2,0,0,0,1,0,1,1,0,0,0,0,0,1,3,1,0,4,1,0,3,3,0,0,0,0,0,1,6,0,1,0,12,10
3,0,1,0,0,1,1,1,1,0,0,0,0,0,0,4,4,3,3,3,3,0,1,0,0,2,1,1,1,6,2,1,2,14,18
0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,2,8,2,2,0,10,7
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,3,1,0,0,0,1,0,2,1,0,1,21
3,2,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,3,1,0,1,2,3,0,0,1,0,0,8,1,0,2,10,21
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,2,3,3,0,0,1,0,0,6,1,0,0,6,16
2,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,3,3,4,0,3,3,0,1,0,1,0,7,0,2,1,16,10
1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3,1,1,3,1,1,3,2,3,0,0,0,0,0,4,0,1,0,19,13
1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,2,0,0,3,2,0,0,1,1,1,0,3,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,3,1,3,0,0,0,1,2,1,1,1,6,2,1,2,19,13
1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,2,0,3,1,0,1,0,0,1,2,0,0,20,14
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,3,1,3,0,2,2,0,0,0,1,0,1,1,1,0,18,5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0,0,3,1,0,1,0,0,1,1,0,0,19,13
2,2,0,1,0,1,1,0,1,1,1,0,0,0,1,4,1,3,4,1,3,0,2,3,0,0,1,0,2,6,1,2,0,3,21
2,1,0,1,0,1,0,1,1,1,1,0,0,0,1,3,2,1,1,2,3,0,0,3,0,0,1,1,0,9,1,1,0,12,10
2,1,0,1,0,1,0,0,0,0,1,0,0,0,1,2,0,0,3,0,1,2,0,3,1,2,0,0,2,9,2,1,1,19,13
1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,4,0,0,4,1,0,1,2,3,0,1,0,0,0,8,0,1,1,18,5
0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,2,3,0,0,1,0,2,1,0,2,0,18,5
2,1,0,1,0,1,1,1,1,0,0,0,0,0,1,3,3,3,4,1,1,3,0,2,1,2,0,0,2,5,1,1,0,19,13
