respondent_id,h1n1_knowledge,doctor_recc_seasonal,health_worker,health_insurance,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,age_group,education,income_poverty,rent_or_own,employment_industry,seasonal_vaccine
0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,15.0,0
1,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,6.0,0
2,1.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,3.0,2.0,0.0,10.0,0
3,2.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,11.0,0
4,1.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,2.0,0.0,15.0,0
5,1.0,0.0,0.0,1.0,3.0,3.0,1.0,3.0,0.0,2.0,0.0,15.0,0
6,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,2.0,0.0,6.0,0
7,1.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,10.0,0
8,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,15.0,0
9,2.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,0.0,15.0,0
10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,15.0,0
11,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,17.0,0
12,0.0,0.0,0.0,1.0,2.0,0.0,4.0,3.0,0.0,2.0,0.0,7.0,0
13,2.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,8.0,0
14,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0
15,1.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,2.0,2.0,1.0,15.0,0
16,1.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,0.0,11.0,0
17,2.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,0.0,10.0,0
18,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,15.0,0
19,1.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,15.0,0
20,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,13.0,0
21,2.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,15.0,0
22,1.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,0.0,2.0,0.0,15.0,0
23,1.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,2.0,2.0,1.0,10.0,0
24,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0
25,1.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,3.0,1.0,0.0,15.0,0
26,1.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,4.0,0
27,1.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,15.0,0
28,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,0.0,15.0,0
29,1.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,2.0,2.0,0.0,15.0,0
